,Day,chanel: (Worldwide),Unnamed: 2,refined
145,2019-04-25,41,,43.32187251523986
146,2019-04-26,41,,42.576974556056186
147,2019-04-27,47,,43.18666843360721
148,2019-04-28,49,,43.18467399946992
149,2019-04-29,40,,42.234024648820565
150,2019-04-30,42,,43.73768884177048
151,2019-05-01,44,,45.75809700503578
152,2019-05-02,41,,43.32187251523986
153,2019-05-03,43,,44.576974556056186
154,2019-05-04,50,,46.18666843360721
155,2019-05-05,52,,46.18467399946992
156,2019-05-06,42,,44.234024648820565
157,2019-05-07,40,,41.73768884177048
158,2019-05-08,41,,42.75809700503578
159,2019-05-09,43,,45.32187251523986
160,2019-05-10,43,,44.576974556056186
161,2019-05-11,50,,46.18666843360721
162,2019-05-12,46,,40.18467399946992
163,2019-05-13,41,,43.234024648820565
164,2019-05-14,41,,42.73768884177048
165,2019-05-15,39,,40.75809700503578
166,2019-05-16,41,,43.32187251523986
167,2019-05-17,41,,42.576974556056186
168,2019-05-18,45,,41.18666843360721
169,2019-05-19,47,,41.18467399946992
170,2019-05-20,39,,41.234024648820565
171,2019-05-21,39,,40.73768884177048
172,2019-05-22,39,,40.75809700503578
173,2019-05-23,38,,40.32187251523986
174,2019-05-24,40,,41.576974556056186
175,2019-05-25,48,,44.18666843360721
176,2019-05-26,46,,40.18467399946992
177,2019-05-27,40,,42.234024648820565
178,2019-05-28,39,,40.73768884177048
179,2019-05-29,40,,41.75809700503578
180,2019-05-30,37,,39.32187251523986
181,2019-05-31,41,,42.576974556056186
182,2019-06-01,45,,41.18666843360721
183,2019-06-02,45,,39.18467399946992
184,2019-06-03,39,,41.234024648820565
185,2019-06-04,39,,40.73768884177048
186,2019-06-05,42,,43.75809700503578
187,2019-06-06,39,,41.32187251523986
188,2019-06-07,41,,42.576974556056186
189,2019-06-08,47,,43.18666843360721
190,2019-06-09,49,,43.18467399946992
191,2019-06-10,41,,43.234024648820565
192,2019-06-11,39,,40.73768884177048
193,2019-06-12,40,,41.75809700503578
194,2019-06-13,38,,40.32187251523986
195,2019-06-14,42,,43.576974556056186
196,2019-06-15,47,,43.18666843360721
197,2019-06-16,49,,43.18467399946992
198,2019-06-17,39,,41.234024648820565
199,2019-06-18,40,,41.73768884177048
200,2019-06-19,39,,40.75809700503578
201,2019-06-20,43,,45.32187251523986
202,2019-06-21,41,,42.576974556056186
203,2019-06-22,45,,41.18666843360721
204,2019-06-23,47,,41.18467399946992
205,2019-06-24,41,,43.234024648820565
206,2019-06-25,39,,40.73768884177048
207,2019-06-26,39,,40.75809700503578
208,2019-06-27,38,,40.32187251523986
209,2019-06-28,39,,40.576974556056186
210,2019-06-29,43,,39.18666843360721
211,2019-06-30,44,,38.18467399946992
212,2019-07-01,37,,39.234024648820565
213,2019-07-02,39,,40.73768884177048
214,2019-07-03,40,,41.75809700503578
215,2019-07-04,40,,42.32187251523986
216,2019-07-05,41,,42.576974556056186
217,2019-07-06,46,,42.18666843360721
218,2019-07-07,49,,43.18467399946992
219,2019-07-08,41,,43.234024648820565
220,2019-07-09,40,,41.73768884177048
221,2019-07-10,41,,42.75809700503578
222,2019-07-11,39,,41.32187251523986
223,2019-07-12,40,,41.576974556056186
224,2019-07-13,45,,41.18666843360721
225,2019-07-14,45,,39.18467399946992
226,2019-07-15,38,,40.234024648820565
227,2019-07-16,40,,41.73768884177048
228,2019-07-17,38,,39.75809700503578
229,2019-07-18,41,,43.32187251523986
230,2019-07-19,40,,41.576974556056186
231,2019-07-20,44,,40.18666843360721
232,2019-07-21,46,,40.18467399946992
233,2019-07-22,39,,41.234024648820565
234,2019-07-23,38,,39.73768884177048
235,2019-07-24,39,,40.75809700503578
236,2019-07-25,39,,41.32187251523986
237,2019-07-26,41,,42.576974556056186
238,2019-07-27,47,,43.18666843360721
239,2019-07-28,48,,42.18467399946992
240,2019-07-29,41,,43.234024648820565
241,2019-07-30,41,,42.73768884177048
242,2019-07-31,39,,40.75809700503578
